	peptide count	description
P06756-1	20	Isoform 1 of Integrin alpha-V OS=Homo sapiens GN=ITGAV
O75144-1	4	Isoform 1 of ICOS ligand OS=Homo sapiens GN=ICOSLG
Q6GQQ9	9	OTU domain-containing protein 7B OS=Homo sapiens GN=OTUD7B
Q9UJC3	15	Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1
O94804	17	Serine/threonine-protein kinase 10 OS=Homo sapiens GN=STK10
Q9P121-4	3	Isoform 4 of Neurotrimin OS=Homo sapiens GN=NTM
Q9NUU7	12	ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A
Q8NBJ4-1	20	Isoform 1 of Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1
Q6ZTY8	9	Putative uncharacterized protein C12orf63 OS=Homo sapiens GN=C12orf63
Q7L7L0	3	Histone H2A type 3 OS=Homo sapiens GN=HIST3H2A
Q9P2G3-1	9	Isoform 1 of Kelch-like protein 14 OS=Homo sapiens GN=KLHL14
Q9H3D4-11	3	Isoform 11 of Tumor protein 63 OS=Homo sapiens GN=TP63
P32927-1	5	Isoform 1 of Cytokine receptor common subunit beta OS=Homo sapiens GN=CSF2RB
Q5SZJ8-1	10	Isoform 1 of BEN domain-containing protein 6 OS=Homo sapiens GN=BEND6
Q9P2D7-4	62	Isoform 4 of Dynein heavy chain 1, axonemal OS=Homo sapiens GN=DNAH1
Q9UKV3-1	9	Isoform 1 of Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1
O00203-1	16	Isoform 1 of AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1
O75330-3	25	Isoform 3 of Hyaluronan mediated motility receptor OS=Homo sapiens GN=HMMR
P53367-2	8	Isoform A of Arfaptin-1 OS=Homo sapiens GN=ARFIP1
Q07065	10	Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4
O95678	15	Keratin, type II cytoskeletal 75 OS=Homo sapiens GN=KRT75
P01857	6	Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1
P08246	6	Neutrophil elastase OS=Homo sapiens GN=ELANE
Q9Y2E5-1	5	Isoform 1 of Epididymis-specific alpha-mannosidase OS=Homo sapiens GN=MAN2B2
Q9UKA9-1	5	Isoform 1 of Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2
Q9NZJ5	12	Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Homo sapiens GN=EIF2AK3
Q5VW38-1	3	Isoform 1 of Protein GPR107 OS=Homo sapiens GN=GPR107
P29966	3	Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS
Q9BXJ4-3	3	Isoform 3 of Complement C1q tumor necrosis factor-related protein 3 OS=Homo sapiens GN=C1QTNF3
P04839	8	Cytochrome b-245 heavy chain OS=Homo sapiens GN=CYBB
Q8ND94	1	LRRN4 C-terminal-like protein OS=Homo sapiens GN=LRRN4CL
O76014	7	Keratin, type I cuticular Ha7 OS=Homo sapiens GN=KRT37
P02533	10	Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14
P24043	54	Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2
Q9BQP9-2	5	Isoform 2 of BPI fold-containing family A member 3 OS=Homo sapiens GN=BPIFA3
Q2M3T9	6	Hyaluronidase-4 OS=Homo sapiens GN=HYAL4
Q9UBG0	6	C-type mannose receptor 2 OS=Homo sapiens GN=MRC2
P17019	15	Zinc finger protein 708 OS=Homo sapiens GN=ZNF708
Q9H299	2	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3
Q14126	13	Desmoglein-2 OS=Homo sapiens GN=DSG2
P98164	45	Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2
P51693-2	9	Isoform 2 of Amyloid-like protein 1 OS=Homo sapiens GN=APLP1
Q96MH2	1	Protein HEXIM2 OS=Homo sapiens GN=HEXIM2
P16278-1	6	Isoform 1 of Beta-galactosidase OS=Homo sapiens GN=GLB1
Q8N5G2-1	14	Isoform 1 of Macoilin OS=Homo sapiens GN=TMEM57
P16070-7	10	Isoform 7 of CD44 antigen OS=Homo sapiens GN=CD44
Q13200	9	26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2
P23528	3	Cofilin-1 OS=Homo sapiens GN=CFL1
Q9Y5G6-1	11	Isoform 1 of Protocadherin gamma-A7 OS=Homo sapiens GN=PCDHGA7
P78324-1	7	Isoform 1 of Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Homo sapiens GN=SIRPA
Q07002-3	5	Isoform 3 of Cyclin-dependent kinase 18 OS=Homo sapiens GN=CDK18
P62937	5	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA
P01859	4	Ig gamma-2 chain C region OS=Homo sapiens GN=IGHG2
Q9UJY5-1	6	Isoform 1 of ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens GN=GGA1
Q6PJG2	10	ELM2 and SANT domain-containing protein 1 OS=Homo sapiens GN=ELMSAN1
P16070-11	8	Isoform 11 of CD44 antigen OS=Homo sapiens GN=CD44
P16070-16	8	Isoform 16 of CD44 antigen OS=Homo sapiens GN=CD44
P28907-2	2	Isoform 2 of ADP-ribosyl cyclase 1 OS=Homo sapiens GN=CD38
Q9Y2I6-1	15	Isoform 1 of Ninein-like protein OS=Homo sapiens GN=NINL
P22105-1	13	Isoform XB of Tenascin-X OS=Homo sapiens GN=TNXB
O00481-1	7	Isoform 1 of Butyrophilin subfamily 3 member A1 OS=Homo sapiens GN=BTN3A1
Q9Y5G5-1	12	Isoform 1 of Protocadherin gamma-A8 OS=Homo sapiens GN=PCDHGA8
O95619	6	YEATS domain-containing protein 4 OS=Homo sapiens GN=YEATS4
Q9NQC7-1	5	Isoform 1 of Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens GN=CYLD
Q6KC79-1	50	Isoform 1 of Nipped-B-like protein OS=Homo sapiens GN=NIPBL
Q86UF2	16	Putative protein cTAGE-6 OS=Homo sapiens GN=CTAGE6P
Q14202-2	15	Isoform 2 of Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3
P60709	6	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB
Q9UMS6-2	6	Isoform 2 of Synaptopodin-2 OS=Homo sapiens GN=SYNPO2
Q9Y3B9	6	RRP15-like protein OS=Homo sapiens GN=RRP15
Q8TDG2	3	Actin-related protein T1 OS=Homo sapiens GN=ACTRT1
Q5XKE5	11	Keratin, type II cytoskeletal 79 OS=Homo sapiens GN=KRT79
P19823	13	Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2
Q86Y46-1	6	Isoform 1 of Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73
Q14202-1	17	Isoform 1 of Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3
P13497-1	8	Isoform BMP1-3 of Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1
Q9UHB9-1	14	Isoform 1 of Signal recognition particle 68 kDa protein OS=Homo sapiens GN=SRP68
P05154	7	Plasma serine protease inhibitor OS=Homo sapiens GN=SERPINA5
Q9H8L6	10	Multimerin-2 OS=Homo sapiens GN=MMRN2
Q53GD3-1	10	Isoform 1 of Choline transporter-like protein 4 OS=Homo sapiens GN=SLC44A4
P16885	20	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 OS=Homo sapiens GN=PLCG2
P27348	3	14-3-3 protein theta OS=Homo sapiens GN=YWHAQ
Q8IU85-1	12	Isoform 1 of Calcium/calmodulin-dependent protein kinase type 1D OS=Homo sapiens GN=CAMK1D
P55265-3	13	Isoform 3 of Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR
Q8NES3-3	6	Isoform 3 of Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe OS=Homo sapiens GN=LFNG
P20908	11	Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1
P08236-1	3	Isoform Long of Beta-glucuronidase OS=Homo sapiens GN=GUSB
P13521	18	Secretogranin-2 OS=Homo sapiens GN=SCG2
Q12841	4	Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1
Q13822-2	14	Isoform 2 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens GN=ENPP2
Q86YW0-1	6	Isoform 1 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1 OS=Homo sapiens GN=PLCZ1
Q6ZMV8	15	Putative zinc finger protein 730 OS=Homo sapiens GN=ZNF730
Q38SD2-1	25	Isoform 1 of Leucine-rich repeat serine/threonine-protein kinase 1 OS=Homo sapiens GN=LRRK1
O14994	7	Synapsin-3 OS=Homo sapiens GN=SYN3
Q5JU85-1	15	Isoform 1 of IQ motif and SEC7 domain-containing protein 2 OS=Homo sapiens GN=IQSEC2
P47870-4	5	Isoform 4 of Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2
Q9NZQ7-1	4	Isoform 1 of Programmed cell death 1 ligand 1 OS=Homo sapiens GN=CD274
A8MTY0	20	Putative zinc finger protein 724 OS=Homo sapiens GN=ZNF724P
Q13546-1	15	Isoform 1 of Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens GN=RIPK1
P19013	10	Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4
Q86SQ4-1	13	Isoform 1 of G-protein coupled receptor 126 OS=Homo sapiens GN=GPR126
P47972	3	Neuronal pentraxin-2 OS=Homo sapiens GN=NPTX2
Q3KQU3-2	5	Isoform 2 of MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1
Q68BL8-1	12	Isoform 1 of Olfactomedin-like protein 2B OS=Homo sapiens GN=OLFML2B
Q8IWU6	14	Extracellular sulfatase Sulf-1 OS=Homo sapiens GN=SULF1
P31949	4	Protein S100-A11 OS=Homo sapiens GN=S100A11
P06733-2	8	Isoform MBP-1 of Alpha-enolase OS=Homo sapiens GN=ENO1
O00461	10	Golgi integral membrane protein 4 OS=Homo sapiens GN=GOLIM4
P08779	6	Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16
P08575-1	30	Isoform 1 of Receptor-type tyrosine-protein phosphatase C OS=Homo sapiens GN=PTPRC
P16070-19	4	Isoform 19 of CD44 antigen OS=Homo sapiens GN=CD44
P30154-2	9	Isoform 2 of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B
P50895	4	Basal cell adhesion molecule OS=Homo sapiens GN=BCAM
Q7Z745-1	15	Isoform 1 of HEAT repeat-containing protein 7B2 OS=Homo sapiens GN=HEATR7B2
P03951-1	6	Isoform 1 of Coagulation factor XI OS=Homo sapiens GN=F11
Q01546	22	Keratin, type II cytoskeletal 2 oral OS=Homo sapiens GN=KRT76
O00429-2	11	Isoform 4 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L
Q8TD43-1	4	Isoform 1 of Transient receptor potential cation channel subfamily M member 4 OS=Homo sapiens GN=TRPM4
Q8NHP8	7	Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2
P78536-1	21	Isoform A of Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens GN=ADAM17
P30049	1	ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D
Q5T0Z8-1	9	Isoform 1 of Uncharacterized protein C6orf132 OS=Homo sapiens GN=C6orf132
P16452-2	4	Isoform Long of Erythrocyte membrane protein band 4.2 OS=Homo sapiens GN=EPB42
C9J6K1	1	Putative uncharacterized protein C19orf81 OS=Homo sapiens GN=C19orf81
Q9UGT4	5	Sushi domain-containing protein 2 OS=Homo sapiens GN=SUSD2
P84103	8	Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3
Q8IWV2-3	10	Isoform 3 of Contactin-4 OS=Homo sapiens GN=CNTN4
P07355-2	4	Isoform 2 of Annexin A2 OS=Homo sapiens GN=ANXA2
Q9BX97	15	Plasmalemma vesicle-associated protein OS=Homo sapiens GN=PLVAP
Q92823-1	18	Isoform 1 of Neuronal cell adhesion molecule OS=Homo sapiens GN=NRCAM
Q86VI4-1	1	Isoform 1 of Lysosomal-associated transmembrane protein 4B OS=Homo sapiens GN=LAPTM4B
O95235	7	Kinesin-like protein KIF20A OS=Homo sapiens GN=KIF20A
Q13822-3	15	Isoform 3 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens GN=ENPP2
O75368	3	SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL
P61457	3	Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens GN=PCBD1
Q13641	8	Trophoblast glycoprotein OS=Homo sapiens GN=TPBG
P30203-3	6	Isoform CD6C of T-cell differentiation antigen CD6 OS=Homo sapiens GN=CD6
Q86WT6-1	9	Isoform 1 of Tripartite motif-containing protein 69 OS=Homo sapiens GN=TRIM69
P04233-1	6	Isoform 1 of HLA class II histocompatibility antigen gamma chain OS=Homo sapiens GN=CD74
P42892-2	15	Isoform A of Endothelin-converting enzyme 1 OS=Homo sapiens GN=ECE1
Q14112-2	3	Isoform 2 of Nidogen-2 OS=Homo sapiens GN=NID2
P14314-1	1	Isoform 1 of Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH
Q8NFI4	4	Putative protein FAM10A5 OS=Homo sapiens GN=ST13P5
A1L4K1	12	Fibronectin type III and SPRY domain-containing protein 2 OS=Homo sapiens GN=FSD2
P43308	1	Translocon-associated protein subunit beta OS=Homo sapiens GN=SSR2
P01033	2	Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1
P13533	55	Myosin-6 OS=Homo sapiens GN=MYH6
P27708	12	CAD protein OS=Homo sapiens GN=CAD
Q8IUX7-1	5	Isoform 1 of Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1
P35222-1	2	Isoform 1 of Catenin beta-1 OS=Homo sapiens GN=CTNNB1
P07900-2	11	Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1
P40926	5	Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2
Q92499	16	ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1
Q9UBV2-1	8	Isoform 1 of Protein sel-1 homolog 1 OS=Homo sapiens GN=SEL1L
Q9ULI3-1	7	Isoform 1 of Protein HEG homolog 1 OS=Homo sapiens GN=HEG1
Q9NSB2	10	Keratin, type II cuticular Hb4 OS=Homo sapiens GN=KRT84
Q86SQ4-3	14	Isoform 3 of G-protein coupled receptor 126 OS=Homo sapiens GN=GPR126
P02671-1	15	Isoform 1 of Fibrinogen alpha chain OS=Homo sapiens GN=FGA
Q7Z3B3-1	7	Isoform 1 of KAT8 regulatory NSL complex subunit 1 OS=Homo sapiens GN=KANSL1
Q8NEH6	32	Meiosis-specific nuclear structural protein 1 OS=Homo sapiens GN=MNS1
Q6UWF7-2	6	Isoform 2 of NXPE family member 4 OS=Homo sapiens GN=NXPE4
Q14554	1	Protein disulfide-isomerase A5 OS=Homo sapiens GN=PDIA5
Q9BSJ5-2	10	Isoform 2 of Uncharacterized protein C17orf80 OS=Homo sapiens GN=C17orf80
Q6PCB8	5	Embigin OS=Homo sapiens GN=EMB
Q9UM21	7	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT4A
P37802	7	Transgelin-2 OS=Homo sapiens GN=TAGLN2
Q92542-1	5	Isoform 1 of Nicastrin OS=Homo sapiens GN=NCSTN
O15394	8	Neural cell adhesion molecule 2 OS=Homo sapiens GN=NCAM2
Q8TF66-1	8	Isoform 1 of Leucine-rich repeat-containing protein 15 OS=Homo sapiens GN=LRRC15
Q2TAA2	4	Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1
Q5R3K3	4	Protein FAM26F OS=Homo sapiens GN=FAM26F
P08571	4	Monocyte differentiation antigen CD14 OS=Homo sapiens GN=CD14
Q86SQ0-1	16	Isoform 1 of Pleckstrin homology-like domain family B member 2 OS=Homo sapiens GN=PHLDB2
O43581	3	Synaptotagmin-7 OS=Homo sapiens GN=SYT7
P62258-1	8	Isoform 1 of 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE
P36268-1	3	Isoform 1 of Gamma-glutamyltranspeptidase 2 OS=Homo sapiens GN=GGT2
O60704	2	Protein-tyrosine sulfotransferase 2 OS=Homo sapiens GN=TPST2
P49756-1	5	Isoform 1 of RNA-binding protein 25 OS=Homo sapiens GN=RBM25
Q9Y6Y8-1	12	Isoform 1 of SEC23-interacting protein OS=Homo sapiens GN=SEC23IP
Q9C0H2-1	3	Isoform 1 of Protein tweety homolog 3 OS=Homo sapiens GN=TTYH3
Q9HAT2-1	3	Isoform 1 of Sialate O-acetylesterase OS=Homo sapiens GN=SIAE
Q6N043-1	30	Isoform 1 of Zinc finger protein 280D OS=Homo sapiens GN=ZNF280D
Q9BZZ2-1	10	Isoform 1 of Sialoadhesin OS=Homo sapiens GN=SIGLEC1
Q6N069-1	14	Isoform 1 of N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Homo sapiens GN=NAA16
O75676-1	11	Isoform 1 of Ribosomal protein S6 kinase alpha-4 OS=Homo sapiens GN=RPS6KA4
Q8TD43-2	4	Isoform 2 of Transient receptor potential cation channel subfamily M member 4 OS=Homo sapiens GN=TRPM4
Q5QGZ9-4	9	Isoform 4 of C-type lectin domain family 12 member A OS=Homo sapiens GN=CLEC12A
Q9Y5Y3	2	Probable G-protein coupled receptor 45 OS=Homo sapiens GN=GPR45
Q9GIY3	3	HLA class II histocompatibility antigen, DRB1-14 beta chain OS=Homo sapiens GN=HLA-DRB1
Q86XD8	10	AN1-type zinc finger protein 4 OS=Homo sapiens GN=ZFAND4
P55259-1	11	Isoform 1 of Pancreatic secretory granule membrane major glycoprotein GP2 OS=Homo sapiens GN=GP2
Q3KQU3-1	7	Isoform 1 of MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1
P08473	23	Neprilysin OS=Homo sapiens GN=MME
Q9NXG6-1	7	Isoform 1 of Transmembrane prolyl 4-hydroxylase OS=Homo sapiens GN=P4HTM
Q9P2J5	22	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS
Q9UI15	5	Transgelin-3 OS=Homo sapiens GN=TAGLN3
P05156	7	Complement factor I OS=Homo sapiens GN=CFI
Q9NY15-1	12	Isoform 1 of Stabilin-1 OS=Homo sapiens GN=STAB1
P16671	6	Platelet glycoprotein 4 OS=Homo sapiens GN=CD36
O00754	11	Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1
Q9UMR2-4	13	Isoform 4 of ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B
Q86UW7-1	11	Isoform 1 of Calcium-dependent secretion activator 2 OS=Homo sapiens GN=CADPS2
Q92626-1	18	Isoform 1 of Peroxidasin homolog OS=Homo sapiens GN=PXDN
Q14865-1	16	Isoform 1 of AT-rich interactive domain-containing protein 5B OS=Homo sapiens GN=ARID5B
Q8WWQ8	23	Stabilin-2 OS=Homo sapiens GN=STAB2
O00151	5	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1
Q96E29-1	6	Isoform 1 of mTERF domain-containing protein 1, mitochondrial OS=Homo sapiens GN=MTERFD1
P41271-2	4	Isoform 2 of Neuroblastoma suppressor of tumorigenicity 1 OS=Homo sapiens GN=NBL1
A0MZ66-7	3	Isoform 7 of Shootin-1 OS=Homo sapiens GN=KIAA1598
Q16620-4	12	Isoform 4 of BDNF/NT-3 growth factors receptor OS=Homo sapiens GN=NTRK2
P30040	5	Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29
Q4KMZ1-1	6	Isoform 1 of IQ domain-containing protein C OS=Homo sapiens GN=IQCC
P55060-1	11	Isoform 1 of Exportin-2 OS=Homo sapiens GN=CSE1L
Q9NR96-3	12	Isoform 3 of Toll-like receptor 9 OS=Homo sapiens GN=TLR9
Q13201-1	22	Isoform 1 of Multimerin-1 OS=Homo sapiens GN=MMRN1
Q9NW08	23	DNA-directed RNA polymerase III subunit RPC2 OS=Homo sapiens GN=POLR3B
O15078-1	102	Isoform 1 of Centrosomal protein of 290 kDa OS=Homo sapiens GN=CEP290
P60660-1	5	Isoform Non-muscle of Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6
Q92859-1	20	Isoform 1 of Neogenin OS=Homo sapiens GN=NEO1
P04004	3	Vitronectin OS=Homo sapiens GN=VTN
Q7Z333-1	30	Isoform 1 of Probable helicase senataxin OS=Homo sapiens GN=SETX
Q15050	8	Ribosome biogenesis regulatory protein homolog OS=Homo sapiens GN=RRS1
